国家/地区,新增确诊,现有确诊,累计确诊,新增死亡,累计死亡,累计治愈,统计时间
罗马尼亚,0,4848,3296834,0,67276,3224710,2022-12-01 10:39:32
北马其顿,0,807,344710,0,9568,334335,2022-12-01 10:39:32
冰岛,0,131267,207171,0,219,75685,2022-12-01 10:39:32
墨西哥,0,401508,7132792,0,330525,6400759,2022-12-01 10:39:32
阿塞拜疆,0,254,824337,0,9980,814103,2022-12-01 10:39:32
白俄罗斯,0,1327,994037,0,7118,985592,2022-12-01 10:39:32
新西兰,0,25949,1945117,0,3297,1915871,2022-12-01 10:39:32
尼日利亚,0,3488,266283,0,3155,259640,2022-12-01 10:39:32
埃及,0,48850,515645,0,24613,442182,2022-12-01 10:39:32
爱沙尼亚,0,81453,609233,0,2790,524990,2022-12-01 10:39:32
拉脱维亚,0,5222,961627,0,6086,950319,2022-12-01 10:39:32
圣马力诺,0,222,22167,0,119,21826,2022-12-01 10:39:32
亚美尼亚,0,2161,445737,0,8710,434866,2022-12-01 10:39:32
爱尔兰,0,5224,1678827,0,8131,1665472,2022-12-01 10:39:32
卢森堡,0,7633,297757,0,1133,288991,2022-12-01 10:39:32
厄瓜多尔,0,1744,1011132,0,35940,973448,2022-12-01 10:39:32
乌克兰,0,14074,5336293,0,110505,5211714,2022-12-01 10:39:32
约旦,0,1868,1746997,0,14122,1731007,2022-12-01 10:39:32
葡萄牙,0,19732,5542265,0,25450,5497083,2022-12-01 10:39:32
安道尔,0,331,47219,0,157,46731,2022-12-01 10:39:32
加拿大,0,62252,4408276,0,47781,4298243,2022-12-01 10:39:32
芬兰,0,26694,1394254,0,7265,1360295,2022-12-01 10:39:32
泰国,0,24555,4707244,0,33180,4649509,2022-12-01 10:39:32
英国,0,65193,24000101,0,196821,23738087,2022-12-01 10:39:32
意大利,0,492457,24260660,0,181098,23587105,2022-12-01 10:39:32
比利时,0,21850,4636264,0,33057,4581357,2022-12-01 10:39:32
西班牙,0,97310,13595504,0,115901,13382293,2022-12-01 10:39:32
瑞典,0,12918,2626686,0,21002,2592766,2022-12-01 10:39:32
科威特,0,110,662672,0,2570,659992,2022-12-01 10:39:32
伊拉克,0,1211,2463724,0,25364,2437149,2022-12-01 10:39:32
黎巴嫩,0,122236,1220560,0,10737,1087587,2022-12-01 10:39:32
以色列,0,12532,4722419,0,11863,4698024,2022-12-01 10:39:32
阿曼,0,10098,399027,0,4260,384669,2022-12-01 10:39:32
