省/自治区/直辖市,新增确诊,新增本土,新增境外,新增无症状,现有确诊,累计确诊,累计死亡,累计治愈,统计时间
台湾,17714,0,0,0,8285290,8313366,14334,13742,2022-12-01 10:38:16
广东,1611,1599,12,6334,12452,37254,8,24794,2022-12-01 10:38:16
香港,1177,0,0,0,349599,459445,10747,99099,2022-12-01 10:38:16
北京,1035,1023,12,4035,6209,13843,13,7621,2022-12-01 10:38:16
山西,215,215,0,2123,2473,4291,0,1818,2022-12-01 10:38:16
重庆,211,206,5,6434,2428,6040,7,3605,2022-12-01 10:38:16
四川,173,170,3,1264,1937,9453,4,7512,2022-12-01 10:38:16
云南,103,103,0,866,1263,4195,2,2930,2022-12-01 10:38:16
浙江,93,93,0,220,645,4332,1,3686,2022-12-01 10:38:16
黑龙江,90,89,1,667,890,4524,13,3621,2022-12-01 10:38:16
福建,88,65,23,120,644,6173,1,5528,2022-12-01 10:38:16
内蒙古,77,76,1,260,782,7664,1,6881,2022-12-01 10:38:16
河南,75,75,0,366,3119,7352,23,4210,2022-12-01 10:38:16
辽宁,55,53,2,532,357,2512,2,2153,2022-12-01 10:38:16
山东,43,42,1,608,727,4086,7,3352,2022-12-01 10:38:16
江苏,37,34,3,497,411,3454,0,3043,2022-12-01 10:38:16
陕西,35,34,1,771,558,5003,3,4442,2022-12-01 10:38:16
上海,29,23,6,226,186,64579,595,63798,2022-12-01 10:38:16
海南,29,29,0,62,103,9121,6,9012,2022-12-01 10:38:16
湖南,26,26,0,278,281,2155,4,1870,2022-12-01 10:38:16
新疆,21,21,0,972,629,2566,3,1934,2022-12-01 10:38:16
贵州,20,20,0,166,231,1297,2,1064,2022-12-01 10:38:16
湖北,20,19,1,658,161,68629,4512,63956,2022-12-01 10:38:16
河北,16,16,0,436,501,2783,7,2275,2022-12-01 10:38:16
吉林,8,8,0,794,93,40420,5,40322,2022-12-01 10:38:16
澳门,6,0,0,0,11,806,6,789,2022-12-01 10:38:16
青海,5,5,0,722,54,422,0,368,2022-12-01 10:38:16
广西,5,5,0,605,40,2395,2,2353,2022-12-01 10:38:16
天津,4,4,0,870,79,2602,3,2520,2022-12-01 10:38:16
安徽,2,2,0,291,48,1616,6,1562,2022-12-01 10:38:16
江西,1,1,0,70,27,1533,1,1505,2022-12-01 10:38:16
西藏,1,1,0,13,28,1512,0,1484,2022-12-01 10:38:16
甘肃,1,1,0,534,91,1551,2,1458,2022-12-01 10:38:16
宁夏,0,0,0,431,2,230,0,228,2022-12-01 10:38:16
